id,id-new,genreNo,favorite,songName_text,songDetail_text,songSubtitle_text,starMax,combinedTier,combinedTierUra,clearTier,dfcTier,clearTierUra,dfcTierUra,date,debut,source,volume,replaygain,order,starEasy,starNormal,starHard,starMania,starUra,shinutiEasy,shinutiNormal,shinutiHard,shinutiMania,shinutiUra,shinutiEasyDuet,shinutiNormalDuet,shinutiHardDuet,shinutiManiaDuet,shinutiUraDuet,scoreEasy,scoreNormal,scoreHard,scoreMania,scoreUra,branchEasy,branchNormal,branchHard,branchMania,branchUra,songName_font,songDetail_font,songSubtitle_font,previewPos,fumenOffsetPos,tjaFileHash,areFilesGZipped,uniqueId,songFileName
godsng,,0,False,Godsong,,Band Ja Naimon! Maxx Nakayoshi,10,8.25,8.25,,,Moderate,C,2020-07-09,NS1,Nijiiro,1.0,-6.49,0,3,5,6,8,10,6200,4410,2440,1550,1100,6200,4410,2440,1550,1100,1001000,1000140,1002680,1001900,1006400,False,False,False,False,False,1,1,1,84483,20,0,False,253,song_godsng
xjapa2,,0,False,Silent Jealousy,,X JAPAN,10,7.0,7.0,,,Moderate,D,2015-12-03,PS Vita,Nijiiro,1.0,-7.15,1,4,6,7,8,10,4480,3190,1310,930,720,4490,3190,1310,930,720,1000180,1001410,1001380,1001130,1013760,False,False,False,False,False,1,1,1,75020,20,0,False,792,song_xjapa2
ssnrns,,0,False,RNG Cinderella,,Soshina feat. Su Ayamiya (CV:Ayana Taketatsu),10,1.75,1.75,,,Misrepresentation,E,2021-06-30,Nijiiro,NS1,1.0,-8.26,2,3,5,6,8,10,7210,3720,2420,1780,1410,7210,3720,2420,1780,1400,1001180,1000940,1001900,1001580,1004870,False,False,False,False,False,1,1,1,60826,0,0,False,1011,song_ssnrns
manpu2,manpu9,0,False,Anata to Tu-lat-tat-ta♪,Manpuku (99th Asadora series),DREAMS COME TRUE,10,8.25,8.25,,,Moderate,C,2019-04-25,Green,Nijiiro,1.0,-6.89,3,1,1,1,1,10,30100,19460,10430,6810,2120,30110,19450,10420,6790,2110,1000100,1000460,1000850,1000250,1001960,False,False,False,False,False,1,1,1,34113,20,0,False,431,song_manpu2
tamlb2,,0,False,D-Zettai! SAMURAI in the Rain,,Muratatam & Ladybeard,10,10.25,10.25,,,Strong,C,2018-08-25,Blue,Nijiiro,1.0,-7.24,4,3,4,6,8,10,7480,4750,2310,1490,1000,7490,4750,2310,1490,0,1000060,1000250,1002080,1004410,1004800,False,False,False,False,False,1,1,1,48742,20,0,False,683,song_tamlb2
smntwi,,0,False,twinkle night,,nyankobrq & yaca feat. somunia,9,0.0,0.0,,,,,2021-04-21,Nijiiro,Nijiiro,1.0,-4.23,5,3,4,5,7,9,8200,4950,2740,1700,1230,8200,4950,2740,1700,1230,1000800,1000400,1003440,1003000,1004910,False,False,False,False,False,1,1,1,90555,20,0,False,1,song_smntwi
tuydo6,,0,False,"Being low as dirt, taking what's important from me",,TUYU,9,0.0,0.0,,,,,2022-10-19,Nijiiro,Nijiiro,1.0,0.0,6,3,5,6,9,0,8620,5320,2320,1300,0,8620,5320,2320,1300,1000,1000200,1001220,1003080,1005100,0,False,False,False,False,False,1,1,1,15235,20,0,False,1,song_tuydo6
210077562,rydeen,0,False,RYDEEN,,Yellow Magic Orchestra (YMO),9,0.0,0.0,,,,,2024-01-25,PTB,TJA,1.0,0.0,7,3,5,5,7,9,7890,4330,2740,1760,1230,8000,4405,2785,1788,1236,1000450,1000110,1001260,1000040,1003070,False,False,False,False,False,1,1,1,4310,0,210077562,False,,song_210077562
umkami,,0,False,Kamisama no Iutoori ni,,LATU LATU (Takeyaki-sho × Maiki),9,0.0,0.0,,,,,2020-06-09,Nijiiro,Nijiiro,1.0,-7.7,8,3,4,4,8,9,8850,6300,3120,1800,1200,8850,6300,3120,1790,1200,1000200,1000700,1000420,1002100,1000100,False,False,False,False,False,1,1,1,50692,20,0,False,759,song_umkami
glyzmb,,0,False,Shin Zombie,,GLAY × Taiko no Tatsujin Tie-up Song,9,0.0,0.0,,,,,2017-08-08,Yellow,Nijiiro,1.0,-7.25,9,3,4,6,9,0,12520,5750,2420,1260,0,12520,5750,2420,1260,0,1000280,1001100,1001080,1002640,0,False,False,False,False,False,1,1,1,140000,20,0,False,246,song_glyzmb
